id,league,city,nickname,abbreviation,full name,primary_color,secondary_color,PFF-logo
21,NFL,New York,Giants,NYG,New York Giants,#012352,#a30d2d,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/new-york-giants.svg
15,NFL,Jacksonville,Jaguars,JAX,Jacksonville Jaguars,#006778,#d7a22a,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/jacksonville-jaguars.svg
20,NFL,New Orleans,Saints,NO,New Orleans Saints,#d3bc8d,#000000,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/new-orleans-saints.svg
27,NFL,Los Angeles,Chargers,LAC,Los Angeles Chargers,#002a5e,#ffc20e,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/los-angeles-chargers.svg
26,NFL,Los Angeles,Rams,LA,Los Angeles Rams,#003594,#ffd100,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/los-angeles-rams.svg
18,NFL,Minnesota,Vikings,MIN,Minnesota Vikings,#4f2683,#ffc62f,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/minnesota-vikings.svg
24,NFL,Philadelphia,Eagles,PHI,Philadelphia Eagles,#004c54,#a5acaf,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/philadelphia-eagles.svg
29,NFL,Seattle,Seahawks,SEA,Seattle Seahawks,#002244,#69be28,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/seattle-seahawks.svg
30,NFL,Tampa Bay,Buccaneers,TB,Tampa Bay Buccaneers,#d50a0a,#34302b,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/tampa-bay-buccaneers.svg
17,NFL,Miami,Dolphins,MIA,Miami Dolphins,#008e97,#fc4c02,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/miami-dolphins.svg
22,NFL,New York,Jets,NYJ,New York Jets,#125740,#ffffff,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/new-york-jets.svg
16,NFL,Kansas City,Chiefs,KC,Kansas City Chiefs,#e31837,#ffb81c,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/kansas-city-chiefs.svg
4,NFL,Buffalo,Bills,BUF,Buffalo Bills,#00338d,#c60c30,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/buffalo-bills.svg
6,NFL,Chicago,Bears,CHI,Chicago Bears,#0b162a,#c83803,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/chicago-bears.svg
23,NFL,Las Vegas,Raiders,LV,Las Vegas Raiders,#000000,#a5acaf,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/las-vegas-raiders.svg
14,NFL,Indianapolis,Colts,IND,Indianapolis Colts,#002c5f,#ffffff,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/indianapolis-colts.svg
13,NFL,Houston,Texans,HST,Houston Texans,#03202f,#a71930,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/houston-texans.svg
19,NFL,New England,Patriots,NE,New England Patriots,#002244,#c60c30,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/new-england-patriots.svg
12,NFL,Green Bay,Packers,GB,Green Bay Packers,#183028,#ffb81c,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/green-bay-packers.svg
7,NFL,Cincinnati,Bengals,CIN,Cincinnati Bengals,#fb4f14,#000000,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/cincinnati-bengals.svg
11,NFL,Detroit,Lions,DET,Detroit Lions,#0076b6,#b0b7bc,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/detroit-lions.svg
25,NFL,Pittsburgh,Steelers,PIT,Pittsburgh Steelers,#000000,#ffb612,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/pittsburgh-steelers.svg
10,NFL,Denver,Broncos,DEN,Denver Broncos,#fb4f14,#002244,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/denver-broncos.svg
31,NFL,Tennessee,Titans,TEN,Tennessee Titans,#0c2340,#418fde,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/tennessee-titans.svg
8,NFL,Cleveland,Browns,CLV,Cleveland Browns,#311d00,#ff3c00,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/cleveland-browns.svg
1,NFL,Arizona,Cardinals,ARZ,Arizona Cardinals,#97233f,#ffffff,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/arizona-cardinals.svg
9,NFL,Dallas,Cowboys,DAL,Dallas Cowboys,#002244,#ffffff,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/dallas-cowboys.svg
2,NFL,Atlanta,Falcons,ATL,Atlanta Falcons,#a71930,#000000,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/atlanta-falcons.svg
3,NFL,Baltimore,Ravens,BLT,Baltimore Ravens,#1a195f,#000000,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/baltimore-ravens.svg
28,NFL,San Francisco,49ers,SF,San Francisco 49ers,#aa0000,#ad995d,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/san-francisco-49ers.svg
5,NFL,Carolina,Panthers,CAR,Carolina Panthers,#0085ca,#bfc0bf,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/carolina-panthers.svg
32,NFL,Washington,Commanders,WAS,Washington Commanders,#773141,#ffb612,https://pro-football-focus.github.io/gravity/src/assets/svg/nfl/washington-commanders.svg