player,player_id,Included in rank?,PLUS%,ACC%,CAT INAC%,UNC INAC%,OTHER%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford,4924,1,0.211,60.40%,18.70%,20.90%,11.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams,144622,1,0.15,56.50%,19.30%,24.30%,16.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Nix,97790,1,0.133,61.50%,19.10%,19.40%,13.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye,143969,1,0.197,62.00%,20.80%,17.20%,11.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott,10769,1,0.161,61.40%,17.90%,20.70%,9.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence,77632,1,0.187,59.70%,20.70%,19.70%,13.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Goff,10635,1,0.161,66.90%,18.70%,14.40%,17.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Darnold,29048,1,0.183,67.90%,15.20%,16.90%,16.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Mayfield,46518,1,0.145,56.20%,21.00%,22.80%,9.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Herbert,28237,1,0.146,65.80%,16.00%,18.10%,13.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Ward,133244,1,0.121,58.50%,18.80%,22.70%,16.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Allen,46601,1,0.128,66.80%,18.10%,15.10%,8.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers,2241,1,0.144,62.70%,20.00%,17.20%,15.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Young,123943,1,0.128,60.30%,22.60%,17.10%,17.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes,11765,1,0.128,63.30%,18.10%,18.60%,16.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Stroud,129759,1,0.184,59.40%,17.50%,23.10%,13.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts,40291,1,0.106,58.20%,22.00%,19.90%,15.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Love,40306,1,0.152,60.70%,22.40%,16.90%,15.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacoby Brissett,10725,1,0.11,59.90%,19.70%,20.40%,13.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geno Smith,7820,1,0.135,60.90%,19.10%,20.10%,9.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Flacco,4332,1,0.171,59.00%,23.10%,17.90%,17.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Jones,39395,1,0.195,61.60%,20.60%,17.80%,7.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tua Tagovailoa,60326,1,0.211,63.00%,17.90%,19.10%,8.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy,77672,1,0.147,58.50%,24.10%,17.40%,14.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart,146409,1,0.098,59.70%,22.70%,17.60%,14.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Shough,83537,1,0.125,57.30%,23.70%,19.00%,9.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,46416,1,0.161,58.60%,22.60%,18.80%,14.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Jones,60323,1,0.229,66.70%,17.80%,15.50%,12.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Penix Jr.,82134,1,0.191,51.90%,24.20%,23.80%,19.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk Cousins,7102,1,0.147,58.20%,22.40%,19.40%,14.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Burrow,28022,1,0.215,68.40%,15.30%,16.20%,13.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Rattler,97408,1,0.145,61.10%,21.80%,17.10%,8.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.J. McCarthy,144918,1,0.139,51.70%,25.40%,23.00%,16.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Mariota,9435,1,0.149,56.20%,19.40%,24.40%,11.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shedeur Sanders,131396,1,0.112,62.10%,17.20%,20.70%,25.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Fields,82118,1,0.133,60.10%,22.50%,17.30%,16.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels,97993,1,0.123,59.50%,23.30%,17.20%,14.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillon Gabriel,86272,1,0.19,55.80%,20.30%,23.90%,12.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Wentz,10636,1,0.169,53.40%,25.00%,21.60%,13.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyler Murray,38334,1,0.136,69.30%,15.70%,15.00%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis Mills,52269,1,0.27,58.90%,16.30%,24.80%,12.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady Cook,124199,1,0.089,43.70%,30.40%,25.90%,13.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrod Taylor,6332,1,0.211,57.90%,22.80%,19.30%,16.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Browning,46401,0,0.114,57.00%,20.20%,22.80%,9.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Wilson,7077,0,0.14,58.10%,24.70%,17.20%,28.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Rivers,1725,0,0.155,51.20%,23.80%,25.00%,9.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinn Ewers,127253,0,0.189,55.40%,21.60%,23.00%,12.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Brosmer,105568,0,0.125,39.10%,42.20%,18.80%,10.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Huntley,46448,0,0.109,57.80%,25.00%,17.20%,3.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley Leonard,143862,0,0.138,63.80%,13.80%,22.40%,15.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameis Winston,9434,0,0.088,47.40%,33.30%,19.30%,15.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Lance,91399,0,0.065,54.40%,15.20%,30.40%,15.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Oladokun,40364,0,0.083,60.40%,20.80%,18.80%,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Johnson,4474,0,0.047,60.50%,18.60%,20.90%,20.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Rudolph,46569,0,0.043,63.80%,19.10%,17.00%,12.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Rush,12324,0,0.152,58.70%,21.70%,19.60%,13.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Pickett,60515,0,0.122,51.20%,29.30%,19.50%,7.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner McKee,131770,0,0,57.10%,14.30%,28.60%,22.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Dalton,6187,0,0.156,62.50%,21.90%,15.60%,15.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Willis,60341,0,0.206,70.60%,23.50%,5.90%,2.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitch Trubisky,11757,0,0.273,57.60%,21.20%,21.20%,6.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrett Stidham,13725,0,0.115,61.50%,19.20%,19.20%,19.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Allen,10835,0,0.037,51.80%,14.80%,33.30%,11.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Milton III,82151,0,0.15,55.00%,15.00%,30.00%,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aidan O'Connell,60516,0,0.111,38.90%,27.80%,33.30%,22.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Bridgewater,8667,0,0.077,46.20%,15.40%,38.50%,15.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Tune,77652,0,0,38.50%,30.80%,30.80%,15.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Buechele,12659,0,0.2,50.00%,20.00%,30.00%,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Minshew,41401,0,0,44.40%,22.20%,33.30%,44.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Wilson,82096,0,0,25.00%,37.50%,37.50%,37.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Dobbs,11890,0,0.1,50.00%,30.00%,20.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,12112,0,0.333,66.70%,0.00%,33.30%,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Bagent,169628,0,0,50.00%,25.00%,25.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Mullens,12282,0,0,66.70%,33.30%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Lock,39517,0,0,33.30%,33.30%,33.30%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Richardson,124393,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kedon Slovis,100580,0,0,0.00%,100.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery,45719,0,0,50.00%,0.00%,50.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Allen,26152,0,0,50.00%,0.00%,50.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunner Olszewski,95015,0,0,0.00%,50.00%,50.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Kupp,11824,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,11763,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Williams,97156,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren,129798,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Kmet,60995,0,0,0.00%,100.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,10679,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efton Chism III,141521,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Bojorquez,27626,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Akers,57206,0,0,100.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,48267,0,0,100.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,48027,0,1,100.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,84088,0,0,100.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto Sanchez,12130,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,97636,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Haack,12212,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin McNamara,99363,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Harvey,99622,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Olave,84355,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,