Player Id,Name,Team,Included in rank?,Season,PASS GRD,DB,ATT,COMP,COMP%,PASS YDS,PASS YPA,PASS TD,INT,SK,SCR,avgTTT,BP,PBU,TWP,BTT,DP,RTG,1D,BTT%,TWP%,All -,All +,AP DB,Pos %,Neg %,ADOT,ACC%,PS%,SS%,aComp%,RUSH YDS,YPC,AIR%,UNC INAC%,PLUS%,YAC%,CAT INAC%,OTHER%,PA%,Under pressure grade,Clean pocket grade,Pressured DBs,Pressured Sacks,P2S%
46518,Baker Mayfield,Buccaneers,1,2025,60.6,153,132,84,0.63600000000000001,899,6.8,6,4,9,11,2.93,1,8,6,8,7,86,48,5.6000000000000001E-2,3.5999999999999997E-2,26,39,165,0.23636363636363636,0.15757575757575756,9.3000000000000007,0.56599999999999995,0.45500000000000002,0.49199999999999999,0.72799999999999998,129,11.7,0.45600000000000002,0.23799999999999999,0.13100000000000001,0.58399999999999996,0.19700000000000001,0.09,0.13100000000000001,54,64.3,55,9,0.16363636363636364
46569,Mason Rudolph,Steelers,0,2025,74.3,25,25,19,0.76,160,6.4,2,0,0,0,2.66,2,0,0,0,0,118.8,8,0,0,2,6,27,0.22222222222222221,7.407407407407407E-2,5,0.71399999999999997,0.24,0.64,0.86399999999999999,0,0,0.28699999999999998,9.5000000000000001E-2,4.8000000000000001E-2,0.76300000000000001,0.191,0.191,0.2,59.9,75.099999999999994,3,0,0
46601,Josh Allen,Bills,1,2025,81.2,156,130,88,0.67700000000000005,1109,8.5,7,3,10,14,2.9,2,10,3,9,6,102.4,58,6.5000000000000002E-2,1.7999999999999999E-2,25,44,166,0.26506024096385544,0.15060240963855423,9,0.66900000000000004,0.40799999999999997,0.55400000000000005,0.752,171,12.2,0.47699999999999998,0.14899999999999999,0.157,0.54400000000000004,0.182,9.0999999999999998E-2,0.24399999999999999,62.7,88.7,63,10,0.15873015873015872
48027,Jauan Jennings,49ers,0,2025,71,1,1,1,1,29,29,1,0,0,0,4.4000000000000004,0,0,0,0,0,158.30000000000001,1,0,0,0,1,1,1,0,26,1,1,0,1,0,0,0.89700000000000002,0,1,0.10299999999999999,0,0,1,71,0,1,0,0
52269,Davis Mills,Texans,1,2025,54.6,47,43,24,0.55800000000000005,220,5.0999999999999996,1,0,2,2,2.46,1,5,3,3,3,77.7,12,6.5000000000000002E-2,0.06,10,8,50,0.16,0.2,8.6,0.52600000000000002,0.34899999999999998,0.55800000000000005,0.69199999999999995,21,10.5,0.68600000000000005,0.26300000000000001,0.105,0.35399999999999998,0.21099999999999999,0.13200000000000001,0.191,34,68.3,16,2,0.125
60323,Mac Jones,49ers,1,2025,52.9,76,69,46,0.66700000000000004,482,7,3,3,5,1,2.54,3,3,4,2,3,83.1,23,2.8000000000000001E-2,5.0999999999999997E-2,10,12,78,0.15384615384615385,0.12820512820512819,7.7,0.67700000000000005,0.34799999999999998,0.56499999999999995,0.77800000000000002,8,8,0.42499999999999999,0.21,0.161,0.57899999999999996,0.113,0.113,0.14499999999999999,48.4,56.8,21,5,0.23809523809523808
60326,Tua Tagovailoa,Dolphins,1,2025,51.4,70,58,41,0.70699999999999996,408,7,3,3,8,2,2.78,0,2,5,3,2,86,20,0.05,6.9000000000000006E-2,13,13,72,0.18055555555555555,0.18055555555555555,7.4,0.66100000000000003,0.34499999999999997,0.60299999999999998,0.78200000000000003,7,3.5,0.48799999999999999,0.19600000000000001,0.19600000000000001,0.54900000000000004,0.14299999999999999,7.0999999999999994E-2,0.25700000000000001,50.2,54.6,30,8,0.26666666666666666
60341,Malik Willis,Packers,0,2025,80.400000000000006,12,6,6,1,57,9.5,0,0,2,4,3.8,0,0,0,0,0,106.3,5,0,0,0,5,12,0.41666666666666669,0,5.7,1,0.5,0.5,1,25,6.3,0.59699999999999998,0,0.33300000000000002,0.40400000000000003,0,0,0.33300000000000002,66.8,80.2,6,2,0.33333333333333331
60515,Kenny Pickett,Raiders,0,2025,49.7,3,3,1,0.33300000000000002,2,0.7,0,0,0,0,2.4300000000000002,0,0,0,0,1,42.4,0,0,0,1,0,3,0,0.33333333333333331,4.7,0,0.33300000000000002,0.66700000000000004,0.66700000000000004,0,0,0.5,0.33300000000000002,0,0.5,0.66700000000000004,0,0,48,60.4,2,0,0
60516,Aidan O'Connell,Raiders,0,2025,48.3,13,12,5,0.41699999999999998,35,2.9,0,0,1,0,2.54,0,1,0,0,0,49.3,1,0,0,3,1,13,7.6923076923076927E-2,0.23076923076923078,10.1,0.33300000000000002,0.41699999999999998,0.41699999999999998,0.5,0,0,0.25700000000000001,0.44400000000000001,0.111,0.74299999999999999,0.222,0.33300000000000002,0.23100000000000001,45,55.9,5,1,0.2
77632,Trevor Lawrence,Jaguars,1,2025,66.8,105,90,48,0.53300000000000003,555,6.2,4,4,6,8,2.86,5,4,3,4,11,68.5,31,4.2000000000000003E-2,2.7E-2,16,30,110,0.27272727272727271,0.14545454545454545,9.8000000000000007,0.61299999999999999,0.47799999999999998,0.45600000000000002,0.70199999999999996,52,6.5,0.60499999999999998,0.188,0.25,0.42199999999999999,0.2,0.13800000000000001,0.2,72.2,61.4,43,6,0.13953488372093023
77652,Clayton Tune,Packers,0,2025,60.7,4,3,1,0.33300000000000002,4,1.3,0,1,1,0,2.2000000000000002,0,1,0,0,1,2.8,0,0,0,0,0,4,0,0,0.7,0.33300000000000002,0,1,0.66700000000000004,0,0,-1.5,0.33300000000000002,0,2.5,0.33300000000000002,0,0,60,63,1,1,1
77672,Brock Purdy,49ers,1,2025,67.3,58,53,36,0.67900000000000005,462,8.6999999999999993,5,3,1,3,3.15,0,5,3,3,1,102.9,27,5.5E-2,4.9000000000000002E-2,10,17,61,0.27868852459016391,0.16393442622950818,8.1999999999999993,0.625,0.434,0.49099999999999999,0.755,21,7,0.54100000000000004,0.20799999999999999,0.188,0.47599999999999998,0.16700000000000001,0.125,0.17199999999999999,50.2,75.099999999999994,21,1,4.7619047619047616E-2
82118,Justin Fields,Jets,1,2025,59,55,42,26,0.61899999999999999,317,7.5,2,0,6,7,3.2,2,9,3,1,0,101,14,2.3E-2,0.05,12,15,60,0.25,0.2,7.3,0.63200000000000001,0.309,0.61899999999999999,0.66700000000000004,46,6.6,0.47599999999999998,0.23699999999999999,7.9000000000000001E-2,0.54300000000000004,0.13200000000000001,0.105,0.14499999999999999,52.4,64.7,24,6,0.25
82134,Michael Penix Jr.,Falcons,1,2025,45.1,71,65,32,0.49199999999999999,386,5.9,1,0,2,4,2.94,2,7,4,1,3,73,26,1.4E-2,5.0999999999999997E-2,19,22,78,0.28205128205128205,0.24358974358974358,10.3,0.46899999999999997,0.52300000000000002,0.33900000000000002,0.625,23,5.8,0.57499999999999996,0.30599999999999999,0.16300000000000001,0.433,0.224,0.32600000000000001,0.127,29.1,63.4,30,2,6.6666666666666666E-2
82151,Joe Milton III,Cowboys,0,2025,26.1,1,1,0,0,0,0,0,1,0,0,2.2999999999999998,0,0,1,0,0,0,0,0,1,1,0,1,0,1,15,0,1,0,0,0,0,0,1,0,0,0,0,1,26.1,0,1,0,0
83537,Tyler Shough,Saints,1,2025,78.099999999999994,94,83,55,0.66300000000000003,695,8.4,5,2,6,5,2.81,2,6,3,5,4,102.2,37,5.8000000000000003E-2,3.1E-2,13,28,97,0.28865979381443296,0.13402061855670103,10.199999999999999,0.61599999999999999,0.44600000000000001,0.47,0.77600000000000002,63,12.6,0.62,0.16400000000000001,0.151,0.41099999999999998,0.219,0.123,0.13800000000000001,75.400000000000006,75.099999999999994,33,6,0.18181818181818182
86272,Dillon Gabriel,Browns,1,2025,40.9,33,25,12,0.48,125,5,0,0,5,3,2.9,0,1,1,0,1,62.9,6,0,0.03,7,4,33,0.12121212121212122,0.21212121212121213,6.1,0.45500000000000002,0.32,0.56000000000000005,0.59099999999999997,38,12.7,0.57599999999999996,0.40899999999999997,9.0999999999999998E-2,0.42399999999999999,0.13600000000000001,9.0999999999999998E-2,9.0999999999999998E-2,48.7,41.4,18,5,0.27777777777777779
91399,Trey Lance,Chargers,0,2025,37.299999999999997,8,4,3,0.75,7,1.8,0,0,2,2,3.36,0,1,1,0,0,77.099999999999994,1,0,0.111,1,1,9,0.1111111111111111,0.1111111111111111,-0.8,0.5,0,1,0.75,32,16,-1,0.25,0,2,0.25,0,0.25,29.5,63.4,6,2,0.33333333333333331
95015,Gunner Olszewski,Giants,0,2025,58.5,2,2,1,0.5,33,16.5,1,0,0,0,4.3499999999999996,0,0,0,0,0,135.4,1,0,0,1,1,2,0.5,0.5,13.5,0,1,0,0.5,0,0,0.45500000000000002,0.5,0,0.54500000000000004,0.5,0,1,68.8,49.6,1,0,0
97408,Spencer Rattler,Saints,1,2025,57.6,73,64,39,0.60899999999999999,326,5.0999999999999996,1,1,6,2,2.4500000000000002,0,10,4,3,2,72.8,20,4.4999999999999998E-2,5.2999999999999999E-2,10,17,75,0.22666666666666666,0.13333333333333333,8.6,0.55900000000000005,0.48399999999999999,0.42199999999999999,0.70699999999999996,21,10.5,0.71799999999999997,0.20300000000000001,0.11899999999999999,0.29099999999999998,0.23699999999999999,6.8000000000000005E-2,0.17799999999999999,29.1,71.7,21,6,0.2857142857142857
97636,Breece Hall,Jets,0,2025,55.1,1,1,1,1,4,4,1,0,0,0,4.2,0,0,0,0,0,122.9,1,0,0,0,0,1,0,0,12,0,1,0,1,0,0,3,0,0,0,0,0,1,0,55.1,0,0,#DIV/0!
97790,Bo Nix,Broncos,1,2025,62,159,146,90,0.61599999999999999,964,6.6,5,4,6,7,2.87,4,8,8,7,5,81,48,4.3999999999999997E-2,4.7E-2,30,35,172,0.20348837209302326,0.1744186046511628,8.4,0.56899999999999995,0.377,0.51400000000000001,0.73099999999999998,64,9.1,0.46899999999999997,0.22800000000000001,0.13,0.54,0.20300000000000001,0.17899999999999999,0.28899999999999998,41.6,72.7,52,6,0.11538461538461539
97993,Jayden Daniels,Commanders,1,2025,77.400000000000006,29,22,13,0.59099999999999997,162,7.4,2,0,1,6,2.99,3,1,0,1,2,112.3,11,3.9E-2,0,1,9,33,0.27272727272727271,3.0303030303030304E-2,7.2,0.52900000000000003,0.36399999999999999,0.40899999999999997,0.88200000000000001,30,5,0.50600000000000001,0.11799999999999999,0.11799999999999999,0.53700000000000003,0.35299999999999998,0.23499999999999999,0.24099999999999999,56.9,84.8,11,1,9.0909090909090912E-2
105568,Max Brosmer,Vikings,0,2025,53.6,8,6,3,0.5,30,5,0,0,2,0,2.56,0,0,1,1,0,64.599999999999994,2,0.14299999999999999,0.111,1,1,9,0.1111111111111111,0.1111111111111111,4.5,1,0.16700000000000001,0.5,0.75,0,0,0.5,0,0.33300000000000002,0.5,0,1,0.5,55.8,55.4,4,1,0.25
123943,Bryce Young,Panthers,1,2025,61.4,138,121,71,0.58699999999999997,753,6.2,7,2,10,7,2.82,3,6,4,6,2,89.3,42,4.5999999999999999E-2,2.7E-2,22,32,148,0.21621621621621623,0.14864864864864866,7.9,0.58199999999999996,0.38,0.44600000000000001,0.73,46,6.6,0.57999999999999996,0.214,0.122,0.45600000000000002,0.20399999999999999,0.224,0.159,54.6,66.599999999999994,65,10,0.15384615384615385
124199,Brady Cook,Jets,1,2025,23.3,7,6,3,0.5,27,4.5,0,1,1,0,2.7,0,1,2,0,0,22.9,1,0,0.28599999999999998,2,0,7,0,0.2857142857142857,1.6,0.4,0.33300000000000002,0.5,0.6,0,0,-0.48099999999999998,0.4,0,1.48,0.2,0.2,0.42899999999999999,30.5,28.6,2,1,0.5
127253,Quinn Ewers,Dolphins,0,2025,60.4,1,1,1,1,4,4,0,0,0,0,2,0,0,0,0,0,83.3,0,0,0,0,0,1,0,0,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,60.4,0,0,#DIV/0!
129759,C.J. Stroud,Texans,1,2025,44.5,78,72,42,0.58299999999999996,438,6.1,3,2,2,4,2.72,1,7,4,1,1,78.400000000000006,22,1.2999999999999999E-2,4.5999999999999999E-2,21,16,87,0.18390804597701149,0.2413793103448276,10,0.55200000000000005,0.47199999999999998,0.47199999999999998,0.63200000000000001,28,7,0.57299999999999995,0.35799999999999998,0.13400000000000001,0.441,0.09,0.06,0.14099999999999999,38.799999999999997,52.7,26,2,7.6923076923076927E-2
131396,Shedeur Sanders,Browns,1,2025,62.8,61,49,25,0.51,263,5.4,1,1,5,6,3.35,2,6,1,1,1,65.3,14,0.02,1.6E-2,4,11,63,0.17460317460317459,6.3492063492063489E-2,8.1,0.64100000000000001,0.30599999999999999,0.49,0.66700000000000004,46,7.7,0.42199999999999999,0.17899999999999999,0.10299999999999999,0.60499999999999998,0.17899999999999999,0.28199999999999997,0.13100000000000001,58.7,65.8,31,5,0.16129032258064516
131770,Tanner McKee,Eagles,0,2025,42,15,14,5,0.35699999999999998,40,2.9,0,0,1,0,3.09,0,0,0,0,1,44.3,2,0,0,5,1,15,6.6666666666666666E-2,0.33333333333333331,10.5,0.4,0.35699999999999998,0.35699999999999998,0.6,0,0,0.2,0.4,0,0.8,0.2,0.4,0.13300000000000001,38,54.4,8,1,0.125
133244,Cam Ward,Titans,1,2025,46.5,127,108,60,0.55600000000000005,549,5.0999999999999996,3,2,14,5,3.19,4,5,7,3,4,71.099999999999994,31,2.5999999999999999E-2,5.2999999999999999E-2,28,26,132,0.19696969696969696,0.21212121212121213,7.9,0.56699999999999995,0.38900000000000001,0.49099999999999999,0.67400000000000004,52,10.4,0.56999999999999995,0.26700000000000002,0.1,0.434,0.16700000000000001,0.2,0.10199999999999999,43.3,52.1,51,13,0.25490196078431371
143862,Riley Leonard,Colts,0,2025,42.5,9,8,5,0.625,15,1.9,0,2,0,1,3.32,0,0,1,0,0,27.1,2,0,0.111,2,1,9,0.1111111111111111,0.22222222222222221,9.4,0.42899999999999999,0.25,0.75,0.625,9,9,0.53300000000000003,0.28599999999999998,0,0.46700000000000003,0.28599999999999998,0.14299999999999999,0.33300000000000002,37.5,63,6,0,0
143969,Drake Maye,Patriots,1,2025,68.3,120,98,66,0.67300000000000004,797,8.1,4,2,12,9,3.24,2,3,7,7,3,97.2,42,6.8000000000000005E-2,5.6000000000000001E-2,18,34,125,0.27200000000000002,0.14399999999999999,10.5,0.63200000000000001,0.44900000000000001,0.49,0.75,69,7.7,0.622,0.161,0.161,0.38100000000000001,0.20699999999999999,0.13800000000000001,0.15,61.2,71.2,56,12,0.21428571428571427
144622,Caleb Williams,Bears,1,2025,73.599999999999994,185,164,90,0.54900000000000004,1271,7.8,12,3,4,16,3.45,3,9,6,13,12,96.9,69,7.3999999999999996E-2,0.03,34,58,199,0.29145728643216079,0.17085427135678391,10.5,0.53500000000000003,0.49399999999999999,0.40200000000000002,0.69399999999999995,170,10.6,0.6,0.254,0.155,0.42899999999999999,0.21099999999999999,0.155,0.24299999999999999,74.3,69.8,66,4,6.0606060606060608E-2
144918,J.J. McCarthy,Vikings,1,2025,62.9,52,43,24,0.55800000000000005,307,7.1,5,0,5,4,3.29,4,2,3,4,5,117.1,18,7.8E-2,4.9000000000000002E-2,11,19,61,0.31147540983606559,0.18032786885245902,11,0.56799999999999995,0.58099999999999996,0.27900000000000003,0.78400000000000003,43,10.8,0.76900000000000002,0.216,0.24299999999999999,0.28000000000000003,0.216,0.16200000000000001,0.192,53.4,69.099999999999994,22,5,0.22727272727272727
146409,Jaxson Dart,Giants,1,2025,47.3,46,40,19,0.47499999999999998,142,3.5,0,2,3,3,3.2,1,7,4,3,1,35.6,8,6.7000000000000004E-2,7.4999999999999997E-2,13,9,53,0.16981132075471697,0.24528301886792453,13.8,0.48599999999999999,0.55000000000000004,0.4,0.52600000000000002,16,5.3,0.46500000000000002,0.371,5.7000000000000002E-2,0.53500000000000003,0.14299999999999999,0.114,8.6999999999999994E-2,60.7,40.1,19,3,0.15789473684210525
169628,Tyson Bagent,Bears,0,2025,60.1,1,1,1,1,20,20,0,0,0,0,3.7,0,0,0,0,0,118.8,1,0,0,0,0,1,0,0,-5,1,0,1,1,0,0,-0.25,0,0,1.25,0,0,0,60.1,0,1,0,0
