passer_name,dropbacks,total_epa,epa_per_dropback
Kevin Byard,1,8.219,8.219
Josh Brown,1,7.108,7.108
Pat O'Donnell,1,5.929,5.929
Robert Golden,2,10.955,5.4775
Jalen Reeves-Maybin,1,5.299,5.299
Brian Moorman,2,10.555,5.2775
Ryan Longwell,1,5.207,5.207
AJ Cole,1,5.147,5.147
Daniel Sepulveda,2,9.956,4.978
Tress Way,3,14.227,4.742333333333334
Mat McBriar,1,4.534,4.534
Jaquan Johnson,1,4.454,4.454
Chris Banjo,1,4.391,4.391
Antonio Andrews,1,3.995,3.995
Lachlan Edwards,1,3.973,3.973
Brandon Banks,1,3.968,3.968
Marcel Reece,1,3.944,3.944
Spencer Lanning,1,3.814,3.814
Sean Clifford,1,3.8,3.8
Matthias Farley,1,3.769,3.769
T.J. Graham,1,3.122,3.122
Mohamed Massaquoi,1,3.021,3.021
Tom Kennedy,2,6.023,3.0115
Jack Fox,5,14.956,2.9912
Isaiah McKenzie,1,2.971,2.971
Austin McNamara,1,2.889,2.889
Mark Bradley,2,5.682,2.841
Ace Sanders,1,2.784,2.784
Doug Baldwin,1,2.616,2.616
Michael Palardy,4,10.447,2.61175
Jauan Jennings,3,7.803,2.601
Dez Bryant,1,2.525,2.525
David Akers,2,4.969,2.4845
Chase Claypool,1,2.413,2.413
Tre Mason,1,2.401,2.401
Cameron Meredith,1,2.378,2.378
Jaxon Smith-Njigba,1,2.362,2.362
Trey Burton,1,2.346,2.346
John Brown,3,6.927,2.3089999999999997
Tommy Townsend,4,8.975000000000001,2.2437500000000004
Tim Masthay,2,4.4479999999999995,2.2239999999999998
Legedu Naanee,2,4.391,2.1955
Andrew Beck,1,2.172,2.172
Cecil Shorts,3,6.327999999999999,2.1093333333333333
Dontari Poe,1,2.084,2.084
Jason Witten,1,2.03,2.03
Ryan Quigley,2,4.051,2.0255
Steven Jackson,1,1.995,1.995
Mike Williams,1,1.967,1.967
Braden Mann,3,5.727,1.909
Mewelde Moore,3,5.6899999999999995,1.8966666666666665
Brad Nortman,2,3.6189999999999998,1.8094999999999999
Cordarrelle Patterson,2,3.563,1.7815
Mike Scifres,3,5.311999999999999,1.7706666666666664
Braxton Berrios,3,5.268,1.756
Drake London,1,1.737,1.737
Golden Tate,4,6.832,1.708
Phil Dawson,1,1.678,1.678
Bernard Berrian,1,1.675,1.675
Julian Edelman,8,13.293,1.661625
Pat McAfee,2,3.3040000000000003,1.6520000000000001
Logan Cooke,5,8.156,1.6312000000000002
Rigoberto Sanchez,1,1.627,1.627
Fred Jackson,2,3.231,1.6155
Arian Foster,1,1.615,1.615
Devin Singletary,2,3.22,1.61
Jerheme Urban,1,1.57,1.57
Earnest Graham,2,3.1399999999999997,1.5699999999999998
Mohamed Sanu,11,16.784,1.5258181818181817
Breece Hall,1,1.472,1.472
Thomas Morstead,2,2.89,1.445
Sidney Rice,8,11.487,1.435875
Brad Maynard,2,2.7520000000000002,1.3760000000000001
Nelson Agholor,1,1.362,1.362
Gunner Olszewski,2,2.7199999999999998,1.3599999999999999
Sam Koch,9,12.200999999999997,1.3556666666666664
Emmanuel Sanders,4,5.292,1.323
Willie Snead IV,2,2.6249999999999996,1.3124999999999998
Jon Ryan,4,5.0329999999999995,1.2582499999999999
Chris Kluwe,2,2.514,1.257
Shane Lechler,4,5.015000000000001,1.2537500000000001
Chester Taylor,2,2.507,1.2535
Tarik Cohen,3,3.6189999999999998,1.2063333333333333
Joseph Charlton,2,2.3910000000000005,1.1955000000000002
Dante Pettis,2,2.387,1.1935
Odell Beckham Jr.,9,10.687,1.1874444444444443
Antwaan Randle El,15,17.68,1.1786666666666668
Cam Akers,2,2.346,1.173
Darius Jennings,1,1.13,1.13
Isaiah Ford,1,1.121,1.121
Hunter Smith,3,3.348,1.1159999999999999
Christian McCaffrey,7,7.754000000000001,1.1077142857142859
Xavier Hutchinson,1,1.106,1.106
Russell Gage,2,2.1980000000000004,1.0990000000000002
DeMarco Murray,2,2.197,1.0985
Cedrick Wilson,2,2.114,1.057
Courtland Sutton,6,6.333000000000001,1.0555
Mike James,1,1.055,1.055
Marqise Lee,2,2.106,1.053
Dawson Knox,1,1.0,1.0
Derrick Henry,13,12.953000000000001,0.9963846153846154
Jermaine Kearse,1,0.976,0.976
Andy Lee,6,5.514,0.919
Riley Dixon,9,8.103999999999997,0.9004444444444442
Brandon Bolden,1,0.9,0.9
Jakobi Meyers,9,7.8759999999999994,0.8751111111111111
James White,2,1.73,0.865
Bilal Powell,2,1.6919999999999997,0.8459999999999999
Danny Amendola,7,5.918,0.8454285714285714
Ted Ginn Jr.,3,2.51,0.8366666666666666
Ryan Nassib,13,10.874999999999998,0.8365384615384615
Alvin Kamara,1,0.798,0.798
Daniel Thomas,1,0.794,0.794
Matt Haack,5,3.92,0.784
Adrian Peterson,2,1.5679999999999998,0.7839999999999999
Jalen Coker,1,0.684,0.684
Kenneth Gainwell,1,0.675,0.675
Jamison Crowder,5,3.3100000000000005,0.6620000000000001
Joseph Addai,2,1.318,0.659
DJ Moore,3,1.872,0.624
Kendrick Bourne,2,1.226,0.613
Anthony Miller,1,0.583,0.583
Tanner McEvoy,2,1.1640000000000001,0.5820000000000001
Chris Hogan,3,1.732,0.5773333333333334
Mark Clayton,4,2.1,0.525
Marshawn Lynch,4,2.0740000000000003,0.5185000000000001
Bryan Anger,6,2.968,0.49466666666666664
Larry Fitzgerald,6,2.825,0.4708333333333334
LaDainian Tomlinson,7,3.248,0.464
Johnny Hekker,32,14.699000000000005,0.45934375000000016
Lynn Bowden Jr.,4,1.8019999999999998,0.45049999999999996
Clinton Portis,4,1.7599999999999998,0.43999999999999995
Jarvis Landry,14,6.156,0.43971428571428567
Michael Bush,4,1.7519999999999998,0.43799999999999994
Jerick McKinnon,2,0.872,0.436
Dominique Davis,9,3.6689999999999996,0.4076666666666666
Cole Beasley,4,1.6140000000000003,0.4035000000000001
Kelvin Harmon,1,0.397,0.397
Daniel Bellinger,2,0.766,0.383
Cedrick Wilson Jr.,11,4.019,0.3653636363636364
Logan Thomas,13,4.739,0.36453846153846153
Sam Martin,3,1.0670000000000002,0.35566666666666674
Najee Harris,1,0.348,0.348
Brett Kern,6,1.9479999999999995,0.3246666666666666
Stefon Diggs,6,1.8479999999999994,0.3079999999999999
Joe Mixon,3,0.86,0.2866666666666667
Alex Erickson,2,0.56,0.28
Jeremy Kerley,4,1.0490000000000004,0.2622500000000001
Tutu Atwell,2,0.505,0.2525
Peyton Manning,6245,1554.5939999999996,0.24893418734987985
Amon-Ra St. Brown,2,0.4810000000000001,0.24050000000000005
Colby Wadman,2,0.47699999999999987,0.23849999999999993
Larry Johnson,3,0.699,0.23299999999999998
Drew Brees,10349,2367.2070000000003,0.22873775243984928
Quinn Gray,201,45.119,0.2244726368159204
Patrick Mahomes,6556,1445.5819999999999,0.22049755948749236
Tom Brady,12348,2653.572,0.21489893100097182
Justin Jefferson,13,2.713,0.2086923076923077
Brock Purdy,1893,381.55799999999994,0.20156259904912832
Aaron Rodgers,11427,2293.8619999999996,0.20074052682243806
Trevone Boykin,20,3.974,0.19870000000000002
Michael Robinson,2,0.395,0.1975
Albert Wilson,6,1.1349999999999998,0.18916666666666662
Philip Rivers,9766,1838.3270000000007,0.18823745648167117
Tony Romo,5148,948.9939999999997,0.18434226884226879
Charlie Batch,272,47.39300000000001,0.17423897058823531
Jordan Love,1919,322.785,0.1682047941636269
Jimmy Garoppolo,2403,403.5850000000002,0.16795047856845619
Josh Allen,5660,948.905,0.16765106007067138
Matt Ryan,10155,1680.8920000000005,0.16552358444116205
Darren McFadden,5,0.819,0.1638
Ben Roethlisberger,9787,1471.6969999999994,0.1503726371717584
Dak Prescott,5977,878.9899999999999,0.14706207127321397
Andrew Luck,4288,600.0880000000002,0.1399458955223881
Jayden Daniels,1047,143.9649999999999,0.13750238777459398
Matt Schaub,3683,478.461,0.1299106706489275
Todd Bouman,39,5.061000000000001,0.1297692307692308
Sage Rosenfels,498,63.052000000000014,0.1266104417670683
Lamar Jackson,3960,500.91499999999996,0.12649368686868687
Russell Wilson,8343,1054.3050000000005,0.12637001078748658
Matthew Stafford,10593,1335.8210000000001,0.12610412536580762
Kurt Warner,2125,267.361,0.12581694117647058
Colin Kaepernick,2357,278.726,0.11825456088247772
Nick Mullens,916,107.75399999999999,0.11763537117903929
Drake Maye,1258,143.646,0.11418600953895071
Justin Herbert,4227,480.1430000000001,0.11358954341140291
Jameis Winston,3913,427.50499999999994,0.10925249169435214
Carson Palmer,6219,678.8889999999998,0.10916369191188291
Steve Breaston,2,0.21699999999999997,0.10849999999999999
Brett Favre,2995,324.56,0.10836727879799667
Spencer Ware,1,0.108,0.108
Deebo Samuel,5,0.5269999999999997,0.10539999999999994
Deshaun Watson,3145,326.98,0.10396820349761526
Jared Goff,6321,654.1060000000001,0.10348141116911883
Kirk Cousins,6938,711.81,0.10259584894782357
Joe Burrow,3634,363.26500000000004,0.0999628508530545
Donovan McNabb,3008,295.2319999999999,0.09814893617021274
Tua Tagovailoa,2870,278.4450000000001,0.09701916376306624
Cam Newton,5643,482.85900000000015,0.0855677830940989
Jalen Hurts,3346,284.84100000000007,0.08512881052002393
Connor Shaw,37,3.121999999999998,0.08437837837837833
Jeff Garcia,1153,96.90800000000003,0.08404856895056377
Craig Nall,17,1.4049999999999996,0.08264705882352939
Michael Vick,2460,196.86200000000005,0.08002520325203254
Dane Looker,4,0.31799999999999995,0.07949999999999999
Derek Carr,6668,516.118,0.0774022195560888
Kyler Murray,3618,268.5320000000001,0.07422111663902711
Eli Manning,8705,639.9779999999997,0.07351843767949451
Chad Pennington,1569,110.48399999999997,0.07041682600382407
Michael Penix Jr.,445,31.270000000000017,0.07026966292134836
Ryan Tannehill,5766,404.28999999999996,0.07011619840443982
Robert Griffin III,1606,111.42399999999996,0.06937982565379823
Baker Mayfield,4975,338.811,0.06810271356783919
Teddy Bridgewater,2549,171.89500000000004,0.06743624950961163
Ryan Fitzpatrick,5847,387.2299999999999,0.06622712502137847
Marcus Mariota,3053,193.37699999999984,0.06333999344906643
Carson Wentz,4207,265.9719999999999,0.06322129783693842
Ryan Wright,2,0.12199999999999989,0.06099999999999994
Shaun Hill,1419,84.877,0.059814658210007046
Jake Locker,869,50.43000000000002,0.05803222094361337
Jay Cutler,5783,332.9789999999999,0.05757893826733528
Tyrod Taylor,2516,140.581,0.05587480127186009
Alex Smith,6358,352.85299999999984,0.055497483485372735
Mitch Trubisky,2405,132.06899999999993,0.054914345114345085
Ray Rice,2,0.10699999999999998,0.05349999999999999
Vince Young,1646,85.853,0.05215856622114216
Andy Dalton,6775,346.1670000000002,0.0510947601476015
Taysom Hill,399,19.979999999999993,0.05007518796992479
David Garrard,2451,120.48600000000013,0.04915789473684216
Josh McCown,2182,104.25600000000006,0.04778001833180571
Dan Orlovsky,549,25.649999999999995,0.046721311475409824
Jaxson Dart,447,20.096999999999998,0.044959731543624155
Joe Flacco,8759,386.79600000000005,0.04415983559767097
Kyle Orton,2645,114.71200000000002,0.04336937618147449
C.J. Stroud,1999,78.3610000000001,0.03920010005002506
Joe Milton III,65,2.5199999999999996,0.038769230769230764
Tim Rattay,138,5.259,0.03810869565217392
Dontayvion Wicks,1,0.038,0.038
Bo Nix,1483,56.26399999999997,0.03793931220498986
Jason Campbell,2968,103.54599999999999,0.034887466307277626
Trevor Lawrence,3219,104.91600000000001,0.032592730661696184
Nick Foles,2637,78.76399999999992,0.029868790291998456
Josh Johnson,552,16.441000000000006,0.029784420289855083
Matt Hasselbeck,3790,99.77099999999993,0.026324802110817922
Kellen Moore,113,2.894000000000002,0.025610619469026565
Malik Willis,225,5.537999999999997,0.02461333333333332
Josh Freeman,2398,58.56400000000009,0.02442201834862389
Blake Bortles,3257,79.08999999999992,0.0242830825913417
Chase Daniel,338,6.7850000000000135,0.02007396449704146
Brian Hoyer,1799,34.38800000000002,0.019115063924402455
Sam Bradford,3409,56.78000000000005,0.01665591082428866
Tarvaris Jackson,1345,20.35600000000001,0.015134572490706327
Case Keenum,2691,40.23399999999983,0.014951319212188714
Chris Redman,342,4.279999999999983,0.012514619883040886
Drew Bledsoe,205,2.47899999999999,0.01209268292682922
Gardner Minshew,2121,25.12000000000004,0.011843470061291862
Chris Boswell,2,0.019999999999999574,0.009999999999999787
Geno Smith,3819,34.58499999999978,0.009056035611416545
Tanner McKee,97,0.829999999999993,0.008556701030927762
Matt Cassel,3199,16.050000000000026,0.005017192872772749
Jon Kitna,1899,9.300999999999986,0.004897840968931009
Steve McNair,776,3.788999999999916,0.004882731958762779
Christian Ponder,1295,5.957999999999988,0.004600772200772191
Chad Henne,2350,9.019999999999994,0.003838297872340423
Mason Rudolph,911,3.0859999999999954,0.0033874862788144844
Troy Smith,290,0.3149999999999933,0.001086206896551701
Kerry Collins,1328,0.2780000000000056,0.00020933734939759455
Tyler Thigpen,617,-0.2700000000000029,-0.00043760129659643906
Sam Darnold,3550,-6.886999999999858,-0.0019399999999999602
Jake Delhomme,1628,-3.5019999999999945,-0.0021511056511056476
Jacoby Brissett,2761,-7.914999999999936,-0.0028667149583484013
Seneca Wallace,877,-2.930000000000005,-0.00334093500570126
Anthony Wright,12,-0.050000000000000266,-0.004166666666666689
Caleb Williams,1521,-7.829000000000072,-0.005147271531886963
Matt Moore,1274,-6.874999999999985,-0.005396389324960742
Matt Barkley,401,-3.055999999999999,-0.007620947630922691
Matt Flynn,441,-3.953999999999996,-0.008965986394557814
Kyle Allen,838,-8.461000000000002,-0.010096658711217186
Brandon Weeden,1114,-12.409000000000022,-0.011139138240574525
Brian Griese,538,-6.562999999999981,-0.012198884758364278
Jake Plummer,356,-4.8919999999999915,-0.013741573033707842
Robbie Chosen,1,-0.014,-0.014
Matt McGloin,305,-4.343000000000005,-0.0142393442622951
Tyler Shough,397,-5.933999999999996,-0.014947103274559182
Daniel Jones,3348,-51.08500000000008,-0.015258363201911613
Cleo Lemon,439,-6.749000000000005,-0.015373576309795
Tim Tebow,531,-8.621000000000015,-0.016235404896421873
Colt McCoy,1502,-26.547000000000025,-0.01767443408788284
Cody Kessler,443,-8.08699999999998,-0.018255079006771965
Mark Sanchez,2857,-52.71400000000012,-0.018450822541127097
Ryan Mallett,376,-7.264000000000008,-0.019319148936170236
Stephen McGee,107,-2.2789999999999977,-0.021299065420560728
Marc Bulger,1906,-42.25200000000011,-0.02216789087093395
Brock Osweiler,1440,-33.438000000000024,-0.02322083333333335
A.J. Feeley,271,-6.314000000000011,-0.02329889298892993
Damon Huard,753,-18.918000000000035,-0.025123505976095663
Jake Browning,448,-11.514000000000014,-0.025700892857142887
A.J. McCarron,273,-7.075000000000003,-0.025915750915750928
Byron Leftwich,506,-13.664000000000021,-0.02700395256917
Mac Jones,2205,-60.48199999999994,-0.027429478458049862
Joe Webb III,236,-6.941000000000004,-0.02941101694915256
Taylor Heinicke,1240,-36.67899999999992,-0.029579838709677352
Terrelle Pryor Sr.,407,-13.672999999999995,-0.03359459459459458
Landry Jones,194,-6.968000000000014,-0.03591752577319595
Jeff Driskel,505,-18.751999999999992,-0.037132673267326714
Thaddeus Lewis,227,-8.515,-0.037511013215859035
Brad Smith,13,-0.5100000000000007,-0.039230769230769284
Matt Leinart,730,-30.491999999999997,-0.04176986301369863
Jim Sorgi,71,-2.982999999999997,-0.042014084507042214
Garrett Gilbert,84,-3.535000000000001,-0.04208333333333335
Johnny Manziel,328,-13.887000000000008,-0.042338414634146365
Drew Stanton,785,-34.685000000000024,-0.04418471337579621
David Carr,778,-35.18599999999996,-0.04522622107969146
Drew Lock,1144,-51.77600000000002,-0.04525874125874128
T.J. Yates,454,-21.86299999999999,-0.04815638766519821
Austin Davis,456,-22.863999999999994,-0.05014035087719297
Trevor Siemian,1433,-71.92499999999997,-0.050191905094207935
Desmond Ridder,713,-35.802,-0.05021318373071529
Luke McCown,313,-16.116,-0.0514888178913738
Tom Savage,384,-19.98299999999999,-0.052039062499999976
Aidan O'Connell,681,-35.612000000000016,-0.05229368575624085
Quinn Ewers,101,-5.311000000000001,-0.05258415841584159
Mark Brunell,351,-19.045999999999985,-0.05426210826210822
Brett Basanez,12,-0.7199999999999998,-0.05999999999999998
