player,player_id,Season,Included in rank?,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Joe Burrow,28022,2024,1,CIN,17,79.6,612,652,7.7,2.65,8,38,5.5,70.6,460,1,248,5.5,725,27,0.11,264,7,56.9,93.9,92.9,74.8,8,9,775,9,52.4,19.4,108.5,6.6,48,22,1,23,43,15,1.9,4918,7.5
Jayden Daniels,97993,2024,1,WAS,20,78.1,548,594,7.7,2.95,15,22,3.5,68.4,406,1,259,5.1,736,22,0.15,250,32,75.5,90.6,84.7,90,1,10,781,2,51.4,19.7,99.7,6.9,51,87,2,28,30,12,1.5,4390,7.4
C.J. Stroud,129759,2024,1,HST,19,72.2,554,593,8.8,3.02,6,27,4.3,63.6,377,0,273,5.8,702,23,-0.02,229,13,76.3,80,77.6,73.3,10,13,741,5,42.9,23.1,87.6,9,63,45,1,22,21,21,2.8,4254,7.2
Bo Nix,97790,2024,1,DEN,18,76.7,545,589,7.9,2.98,16,23,3.7,66,389,1,194,6.9,674,29,0,204,10,91.6,78.3,73.8,81.2,4,12,712,9,44.1,13.4,93.3,3.9,26,53,1,23,30,13,1.8,3919,6.7
Baker Mayfield,46518,2024,1,TB,18,79.2,562,588,7.4,2.78,11,22,3.5,71.8,422,0,168,5.2,680,23,0.19,257,30,42.1,85.9,83.6,70.9,6,16,721,3,54,24.4,108.1,6,41,46,1,8,43,24,3.3,4685,8
Matthew Stafford,4924,2024,1,LA,18,73.2,548,588,8.3,2.62,12,26,4.2,65.5,385,0,200,4,628,16,0.06,205,26,58.5,74.7,73.3,57,9,8,667,1,48.4,17.5,95,5.6,35,4,1,18,24,25,3.7,4295,7.3
Sam Darnold,29048,2024,1,MIN,18,76.5,532,585,9.3,3.08,8,34,5.4,66,386,0,263,5.2,672,21,0.05,232,18,56.9,80.7,77.5,82.5,11,13,725,10,50,21.7,100.8,8.5,57,29,1,33,36,27,3.7,4564,7.8
Aaron Rodgers,2241,2024,1,NYJ,17,73.7,552,584,7.3,2.65,8,26,4.2,63,368,0,178,9.6,643,39,-0.03,199,22,78,77.6,76.1,71.9,6,11,684,9,44,22.5,90.5,6.2,40,16,0,18,28,12,1.8,3897,6.7
Jared Goff,10635,2024,1,DET,18,79,533,579,7.2,2.68,8,19,3.2,71.3,413,0,208,1.9,630,8,0.24,260,11,64.1,78.8,76.3,66.4,5,15,648,2,53.7,15.9,108.2,5.2,33,15,6,27,38,21,3.2,4942,8.5
Geno Smith,7820,2024,1,SEA,17,78.4,537,578,7.6,2.82,13,28,4.5,70.4,407,1,251,3.3,652,14,0.02,221,29,65.2,83.1,82.4,62.6,4,15,704,10,49.1,19.9,93.2,7.7,50,24,2,22,21,18,2.6,4320,7.5
Josh Allen,46601,2024,1,BUF,19,74.2,519,565,8.7,2.86,10,43,7,64.6,365,0,211,5.2,634,20,0.25,218,4,37.4,91.9,84.1,93.6,5,6,686,3,50.3,9,102.6,3,19,47,1,30,32,18,2.6,4367,7.7
Caleb Williams,144622,2024,1,CHI,17,73.4,504,562,8.1,3.03,12,24,3.9,62.5,351,1,241,5.1,682,19,-0.09,190,6,81.6,67.6,63.5,80.4,4,6,741,9,41.5,28.2,87.8,10,68,48,4,38,20,19,2.6,3541,6.3
Kyler Murray,38334,2024,1,ARZ,17,75.9,503,541,7.4,2.84,10,27,4.7,68.8,372,0,180,2.6,614,10,0.09,205,1,66.8,82.1,77.9,81.8,3,11,656,6,51.6,16.7,93.5,4.9,30,40,1,24,21,16,2.4,3851,7.1
Justin Herbert,28237,2024,1,LAC,18,75.7,498,536,9.2,2.87,10,33,5.7,64.6,346,0,209,8.2,618,31,0.09,196,27,59.2,91.2,90.2,72.4,8,7,662,1,44.7,21.5,97.3,7.3,45,31,3,17,24,16,2.4,4112,7.7
Lamar Jackson,46416,2024,1,BLT,19,77,478,520,9.3,3.2,11,35,6.3,67.3,350,0,232,4.9,597,18,0.32,239,3,44.2,94.9,93.3,90.4,10,5,635,8,52.6,11.2,119.9,4.4,26,47,6,15,45,10,1.6,4601,8.8
Jordan Love,40306,2024,1,GB,16,74.4,422,458,9.2,2.76,9,17,3.4,62.9,288,1,172,8.3,492,26,0.09,169,12,75.8,75.8,74.3,58,10,14,528,6,48.8,9.3,92.7,3.3,16,13,0,17,25,17,3.2,3601,7.9
Brock Purdy,77672,2024,1,SF,15,74.1,428,455,9,2.99,9,15,3.1,65.9,300,0,200,5.4,537,17,0.14,199,28,63.7,82.4,76.3,90.2,2,12,567,2,50.8,15.5,96.1,5.8,31,44,5,11,20,17,3,3864,8.5
Kirk Cousins,7102,2024,1,ATL,14,76.7,412,453,8,2.54,15,13,2.7,66.9,303,0,156,4.1,485,13,0,163,2,46.5,74.3,72.3,65.8,7,16,521,2,48.5,17.3,88.6,5.6,27,3,4,15,18,24,4.6,3508,7.7
Jalen Hurts,40291,2024,1,PHI,19,80.4,404,452,8.1,3.23,9,22,4.6,69.2,313,0,223,3.7,556,12,0.15,198,24,56.4,81.6,71,91.1,2,6,590,5,48.9,22.9,104.7,9.2,51,48,1,36,23,19,3.2,3629,8
Tua Tagovailoa,60326,2024,1,MIA,11,79.8,382,399,6.1,2.3,6,11,2.6,72.9,291,1,100,4.6,435,14,0.14,166,17,39.5,70.2,70.2,51.3,0,7,460,3,52.2,21,101.4,4.8,21,7,2,9,19,12,2.6,2867,7.2
Bryce Young,123943,2024,1,CAR,14,71.6,348,384,9,2.94,2,27,6.6,60.9,234,0,172,6,450,15,-0.1,132,5,62.6,74.4,75.1,59.5,2,9,477,9,41.3,16.9,82.2,6.4,29,37,0,32,15,12,2.5,2403,6.3
Russell Wilson,7077,2024,1,PIT,12,78.6,318,365,8.4,2.84,10,24,6.3,64.1,234,1,160,6.4,426,16,0.01,131,25,57,79.5,77.5,68.7,3,5,444,3,43.7,23.1,97.7,8.7,37,22,2,32,18,7,1.6,2752,7.5
Daniel Jones,39395,2024,1,MIN,10,77.7,309,341,7.5,2.71,5,7,1.9,63.3,216,0,145,10,389,24,-0.12,110,18,80.1,72,67.5,79,3,7,418,5,42.9,20,79.4,7.5,29,16,4,20,8,9,2.2,2070,6.1
Drake Maye,143969,2024,1,NE,13,74.6,311,338,7.4,2.82,4,14,3.7,66.6,225,0,158,3,422,7,-0.03,132,19,48.6,70.1,64.9,82.9,5,10,461,2,47.2,21.5,88.1,8.1,34,45,1,17,15,16,3.5,2276,6.7
Cooper Rush,12324,2024,1,DAL,11,70.5,285,308,7.5,2.35,13,8,2.4,60.7,187,0,75,7,326,14,-0.16,92,9,26,52.9,59.8,24,2,5,352,0,40.8,17.3,83.8,4,13,4,1,7,12,12,3.4,1844,6
Gardner Minshew,41401,2024,1,LV,10,76.8,271,306,6.2,2.63,9,5,1.5,66.3,203,0,121,2.4,346,5,-0.16,110,23,47.7,60.7,61.7,46.1,2,10,370,1,43.6,24,81,8.4,29,11,3,21,9,9,2.4,2013,6.6
Will Levis,83542,2024,1,TEN,12,73.4,278,301,9.1,2.74,3,15,4.7,63.1,190,0,135,6.9,362,14,-0.21,95,31,30.1,54.9,54.6,58.2,6,12,384,5,38.7,30.4,81.4,11.3,41,20,0,14,13,17,4.4,2091,6.9
Jameis Winston,9434,2024,1,CLV,9,70.7,273,296,9.7,2.67,10,11,3.5,61.1,181,1,103,6.2,329,12,-0.1,108,8,83.5,73.4,69.5,84.3,4,12,347,5,45.3,23.3,80.6,7.3,24,8,1,8,13,18,5.2,2121,7.2
Dak Prescott,10769,2024,1,DAL,8,72.4,268,286,8.3,2.63,6,14,4.5,64.7,185,0,98,4.6,317,9,-0.08,88,9,56,67.9,67.2,59.6,4,8,344,3,44.5,21.4,86,6.6,21,6,2,6,11,16,4.7,1978,6.9
Trevor Lawrence,77632,2024,1,JAX,10,70,270,284,9.9,2.63,2,13,4.4,60.6,172,0,90,9,317,17,-0.04,103,15,70.7,76.8,73.8,75.6,1,7,332,1,44.2,20,85.2,5.7,18,13,1,10,11,13,3.9,2045,7.2
Derek Carr,8671,2024,1,NO,10,78.7,253,279,8.6,2.64,3,16,5.4,67.7,189,0,94,5,300,10,0.11,94,20,60.6,85.6,86.7,48.6,3,5,319,4,45,8.5,101,2.7,8,8,0,20,15,8,2.5,2145,7.7
Anthony Richardson,124393,2024,1,IND,11,60.2,236,264,12.3,2.95,3,19,6.8,47.7,126,1,115,11.3,299,16,-0.11,82,14,28.2,62.2,59.8,65.1,11,12,317,4,37.1,12.2,61.6,4.7,14,21,2,12,8,15,4.7,1814,6.9
Mac Jones,60323,2024,1,JAX,10,72.7,242,262,7.7,2.67,6,8,2.9,65.3,171,0,76,2.8,290,5,-0.03,82,15,81.5,65,62.1,75.4,2,8,309,3,44.1,18.4,79.2,4.8,14,14,0,12,7,10,3.2,1672,6.4
Joe Flacco,4332,2024,1,IND,7,73,233,248,9.2,2.62,3,8,3,65.3,162,1,78,4.7,270,8,0.03,88,14,79.9,71.6,70.7,55.4,1,7,290,3,45.9,23.1,90.5,6.7,18,3,0,11,12,11,3.8,1761,7.1
Aidan O'Connell,60516,2024,1,LV,9,71.3,223,243,8.3,2.74,4,12,4.6,63.4,154,0,83,3.1,256,5,0.03,80,23,66.8,61.2,58.2,74.6,4,4,276,2,46.9,12,86.7,3.9,10,3,1,11,8,10,3.6,1612,6.6
Spencer Rattler,97408,2024,1,NO,7,69,203,228,8.2,2.78,5,6,2.4,57,130,0,98,7.1,264,10,-0.29,67,20,27.1,52,49.4,71.3,6,5,284,1,37.5,22.4,70.4,8.3,22,14,1,13,4,14,4.9,1317,5.8
Mason Rudolph,46569,2024,1,TEN,8,77,204,228,7.6,2.7,2,6,2.4,64,146,0,89,7,256,11,-0.01,85,31,48.6,62.5,61.5,65.3,4,9,276,4,48,12.4,80.1,4.3,11,13,3,15,9,8,2.9,1530,6.7
Deshaun Watson,11767,2024,1,CLV,7,76.8,198,216,7.1,3.05,2,8,3.5,63.4,137,0,118,9.9,270,15,-0.25,54,8,56.9,63.1,63.4,57.6,6,3,290,2,37.8,28,79,12.2,33,21,0,10,5,5,1.7,1148,5.3
Drew Lock,39517,2024,1,NYG,7,71.2,163,181,7.3,2.81,7,6,3.1,59.1,107,0,78,7.8,204,9,-0.21,53,21,40.3,53.6,48.2,90.7,3,5,216,4,40.7,15.4,75.5,5.9,12,10,1,7,6,11,5.1,1071,5.9
Justin Fields,82118,2024,1,PIT,8,78.2,147,162,7.8,3.08,2,6,3.4,65.4,106,0,79,7.8,197,9,0.02,51,25,63.2,71,65.7,76.8,4,1,215,4,43.1,20.3,92.8,8.1,16,18,1,8,5,6,2.8,1106,6.8
Jacoby Brissett,10725,2024,1,NE,7,70.6,143,161,7.3,2.89,1,5,2.9,59,95,0,82,5.9,188,6,-0.23,45,19,37.3,59.1,58.5,56.7,5,1,200,2,39.4,22,74.2,9.6,18,9,1,11,2,6,3,826,5.1
Andy Dalton,6187,2024,1,CAR,6,77.5,151,160,7,2.54,3,6,3.6,66.3,106,0,50,9.4,175,11,-0.23,52,5,58.2,68.1,67.4,58,0,6,185,0,40.6,14,82,4,7,6,0,6,7,8,4.3,989,6.2
Tyler Huntley,46448,2024,1,MIA,5,77.5,120,133,8.2,2.66,3,1,0.7,64.7,86,0,59,7.5,168,7,-0.13,52,17,35.3,67.3,61.6,78.5,2,3,182,2,40.5,25.4,80.1,8.9,15,15,1,7,3,9,4.9,831,6.2
Dorian Thompson-Robinson,83574,2024,0,CLV,6,67,103,118,5.7,2.75,2,1,0.8,51.7,61,0,44,11.6,133,8,-0.59,23,8,29,45.3,39.3,73.1,1,6,142,5,32.3,18.2,39.5,6,8,6,0,12,0,7,4.9,440,3.7
Michael Penix Jr.,82134,2024,0,ATL,5,70.4,98,105,10.6,2.66,1,10,9,58.1,61,0,33,11.6,114,8,0.1,36,2,34.9,87.9,87.6,51.3,3,3,120,0,47.4,12.1,78.9,3.5,4,4,0,3,3,2,1.7,775,7.4
Desmond Ridder,55086,2024,0,LV,5,72,75,85,7.9,2.72,1,4,4.5,61.2,52,0,45,3.7,102,2,-0.07,25,23,29.9,45.7,49,47.3,3,2,105,1,42.2,22.2,73.6,9.8,10,6,1,5,2,5,4.8,458,5.4
Malik Willis,60341,2024,0,GB,6,83,53,54,7.5,2.97,0,2,3.4,74.1,40,0,23,9.1,71,4,0.21,24,12,52.5,70.3,65.3,71.2,0,0,77,2,42.3,34.8,124.8,11.3,8,8,0,1,3,1,1.3,550,10.2
Tim Boyle,21956,2024,0,NYG,3,64.4,45,50,7.7,2.36,1,2,3.6,54,27,0,18,6.9,55,2,-0.35,12,21,81.8,54.8,54,62.4,0,1,61,0,40,11.1,68.4,3.6,2,2,1,3,1,3,4.9,276,5.5
Joshua Dobbs,11890,2024,0,SF,2,75.6,45,47,7.4,2.65,1,0,0,68.1,32,0,12,5.9,52,2,0.07,19,28,24.8,56.7,61.1,44.7,0,2,54,0,51.9,16.7,87.3,3.8,2,3,1,0,2,3,5.6,361,7.7
Tanner McKee,131770,2024,0,PHI,2,75,44,45,7.4,2.39,1,1,2.2,66.7,30,0,19,9.1,47,3,0.2,17,24,80.7,71.8,70,64.2,0,0,47,0,55.3,10.5,117.2,4.3,2,0,0,0,4,1,2.1,323,7.2
Tommy DeVito,60545,2024,0,NYG,2,78,41,44,5.8,2.59,0,0,0,70.5,31,0,20,3.1,55,1,-0.06,16,21,82.3,51.3,52.2,53.5,0,0,62,0,45.5,30,85.1,10.9,6,4,0,3,0,1,1.6,257,5.8
Marcus Mariota,9435,2024,0,WAS,3,88.1,42,44,9.8,3.13,0,4,8.2,77.3,34,0,13,8.1,51,3,0.37,24,32,83.3,90.1,90.8,65.1,0,0,57,0,62.7,23.1,131.3,5.9,3,4,1,1,4,0,0,364,8.3
Kenny Pickett,60515,2024,0,PHI,5,70.3,37,43,8.9,2.84,2,3,6.3,58.1,25,0,20,3.8,51,1,-0.16,12,24,82.9,65.7,63,66,2,1,57,0,35.3,20,84.5,7.8,4,3,0,2,2,2,3.5,291,6.8
Trey Lance,91399,2024,0,DAL,3,68.4,38,41,7.8,2.9,1,0,0,61,25,0,15,3.8,47,1,-0.28,14,9,81.8,64.4,65.8,55.5,1,1,50,0,38.3,26.7,69.8,8.5,4,2,0,1,0,1,2,266,6.5
Jimmy Garoppolo,8697,2024,0,LA,1,72.5,40,41,4.8,2.63,0,1,2.4,65.9,27,0,20,6.9,45,2,0.01,16,26,80.1,70.8,71.5,53.6,0,1,46,0,53.3,15,97,6.7,3,1,0,1,2,1,2.2,334,8.1
Jake Haener,60596,2024,0,NO,6,62.2,37,39,9,2.92,0,2,4.8,46.2,18,0,27,21.7,51,5,-0.25,10,20,81.8,57.2,56.7,59.4,1,1,54,0,33.3,22.2,62.6,11.8,6,5,0,1,1,1,1.9,226,5.8
Davis Mills,52269,2024,0,HST,4,61.8,34,36,7.6,2.35,1,0,0,55.6,20,0,8,4.8,39,1,-0.19,9,13,79.6,68.5,64,74.7,1,0,41,0,33.3,25,72.9,5.1,2,1,0,0,0,0,0,212,5.9
Skylar Thompson,60417,2024,0,MIA,2,74.2,31,33,7.6,2.78,0,0,0,63.6,21,0,17,8.7,40,2,-0.38,8,17,20.3,39.7,41.8,55.3,1,0,41,0,37.5,35.3,78.7,15,6,1,0,1,0,3,7.3,187,5.7
Bailey Zappe,60396,2024,0,CLV,1,60,30,31,8.1,2.68,0,3,8.8,51.6,16,0,9,11.1,33,2,-0.57,8,8,78.8,41,43.7,57.9,0,2,37,1,36.4,11.1,51.8,3,1,1,0,1,1,4,10.8,170,5.5
Brandon Allen,10835,2024,0,SF,2,70.4,27,30,8.1,2.78,0,0,0,56.7,17,0,12,10.5,33,2,-0.62,8,28,20.4,41.1,44.5,54.4,0,2,33,1,33.3,16.7,60.3,6.1,2,1,0,3,1,4,12.1,199,6.6
Joe Milton III,82151,2024,0,NE,1,81.5,27,29,10.5,3.33,0,3,9.4,75.9,22,0,11,0,32,0,0.31,15,19,79.8,95.8,94.9,72.6,0,0,35,1,59.4,0,111.4,0,0,2,0,2,1,0,0,241,8.3
Mitch Trubisky,11757,2024,0,BUF,5,76,25,26,6.2,2.29,0,0,0,73.1,19,0,6,0,28,0,0.28,7,4,80.9,50.9,49.5,55.2,0,0,28,0,46.4,0,117.3,0,0,1,0,1,2,1,3.6,179,6.9
Tyrod Taylor,6332,2024,0,NYJ,2,81,21,22,4.8,2.69,0,0,0,77.3,17,0,8,0,24,0,0.56,9,22,25.6,74.5,78.4,49.2,0,0,27,0,62.5,0,128.6,0,0,2,0,1,3,0,0,119,5.4
Carson Wentz,10636,2024,0,KC,2,66.7,18,19,5.2,2.61,0,0,0,63.2,12,0,13,0,25,0,-0.4,5,16,77.1,50.7,51.1,57.9,1,0,26,0,24,30.8,80.6,16,4,1,0,0,0,0,0,118,6.2
Sam Howell,97599,2024,0,SEA,1,46.2,13,14,6.6,3.12,0,0,0,35.7,5,0,12,16.7,19,1,-0.95,1,29,74.8,27,27.6,58.3,1,1,19,0,15.8,33.3,14.6,21.1,4,1,0,0,0,2,10.5,24,1.7
Mike White,46453,2024,0,BUF,1,44.4,9,11,9.9,2.34,1,0,0,27.3,3,0,2,25,12,1,-0.89,1,4,72.4,45.8,46.2,,1,0,12,0,16.7,0,39.6,0,0,0,0,0,0,0,0,28,2.5
Hendon Hooker,60593,2024,0,DET,3,77.8,9,9,5.6,2.82,0,0,0,66.7,6,0,5,14.3,11,1,-0.3,3,11,74.1,74.1,72.8,63.8,0,0,11,0,36.4,20,86.3,9.1,1,1,0,0,0,0,0,62,6.9
Taylor Heinicke,9896,2024,0,LAC,4,80,5,5,6.2,3.12,0,0,0,60,3,0,3,25,10,1,-1.07,2,27,71.4,74.7,72.9,63.7,0,0,10,0,30,100,75.4,30,3,2,0,0,0,0,0,28,5.6
Taysom Hill,12112,2024,0,NO,4,50,4,4,13.5,3.65,0,0,0,50,2,0,2,0,4,0,-1.05,1,20,49.9,71.8,39.5,89.9,0,1,5,0,25,0,26,0,0,0,0,0,0,1,20,21,5.3
Josh Johnson,4474,2024,0,BLT,3,66.7,3,3,18,2.63,0,0,0,66.7,2,0,2,0,4,0,-0.65,1,3,71.3,57.8,61.8,54,0,0,4,0,25,50,81.3,25,1,0,0,0,0,0,0,17,5.7
Tyson Bagent,169628,2024,0,CHI,2,100,2,2,0.5,1.5,0,0,0,100,2,0,0,0,2,0,0.48,1,6,71.7,64.4,62,61.6,0,0,2,0,50,,89.6,0,0,0,0,0,0,0,0,11,5.5
Nick Mullens,12282,2024,0,MIN,2,100,2,2,12,2.15,0,0,0,100,2,0,1,0,2,0,2.82,2,18,69.1,76.1,75.5,60.5,0,0,2,0,100,0,118.8,0,0,0,0,0,0,0,0,38,19
Riley Dixon,10862,2024,0,DEN,2,100,2,2,5,1.75,0,0,0,100,2,0,0,0,2,0,0.98,1,10,63.6,79.9,71.8,,0,0,2,0,50,,104.2,0,0,0,0,0,0,0,0,18,9
David Montgomery,45719,2024,0,DET,2,100,2,2,4,1.9,0,0,0,100,2,0,0,0,2,0,1.3,2,11,68.1,85.9,70.4,80.1,0,0,2,1,100,,154.2,0,0,0,0,0,1,0,0,23,11.5
Johnny Hekker,7252,2024,0,CAR,2,0,2,2,10.5,2.15,0,0,0,0,0,0,0,,2,0,-2.26,0,5,63.6,47.9,50.7,,0,0,2,0,0,,39.6,0,0,0,0,0,0,0,0,0,0
Courtland Sutton,48164,2024,0,DEN,2,100,2,2,9,2.9,0,0,0,100,2,0,1,0,2,0,2.85,2,10,54.6,75.5,78.4,,0,0,2,1,100,0,158.3,0,0,0,0,0,1,0,0,30,15
Clayton Tune,77652,2024,0,ARZ,1,100,2,2,1,1.3,0,0,0,100,2,0,0,0,2,0,-0.65,0,1,19.9,45.6,61.5,43.1,0,0,2,0,50,,83.3,0,0,0,0,0,0,0,0,8,4
Bryan Anger,7072,2024,0,DAL,2,50,2,2,6.5,1.95,0,0,0,50,1,0,0,0,2,0,-2.43,0,9,63.6,44.6,44.8,,0,0,2,0,0,,56.3,0,0,0,0,0,0,1,50,4,2
Malik Nabers,146759,2024,0,NYG,1,,0,1,,4.3,0,0,0,0,0,1,1,,1,0,-0.44,0,21,61.8,86.7,60,50.7,0,0,1,6,0,0,39.6,0,0,0,0,1,0,0,0,0,0
Tyler Boyd,10689,2024,0,TEN,1,0,1,1,25,3.2,0,0,0,0,0,0,0,,1,0,-0.48,0,31,78.3,60,51.2,,0,0,1,0,0,,39.6,0,0,0,0,0,0,0,0,0,0
Keenan Allen,7857,2024,0,CHI,1,0,1,1,19,5.5,0,0,0,0,0,0,0,,1,0,-6.32,0,6,49.6,64.4,36.8,,0,1,2,4,0,,0,0,0,0,0,0,0,1,50,0,0
Kyle Trask,39987,2024,0,TB,1,100,1,1,-3,1,0,0,0,100,1,0,0,0,1,0,0.3,0,30,70.4,63.8,60,61.3,0,0,1,0,100,,87.5,0,0,0,0,0,0,0,0,5,5
JK Scott,38809,2024,0,LAC,1,100,1,1,-4,2.8,0,0,0,100,1,0,0,0,1,0,-2.36,0,27,60.4,61,60.3,60,0,0,1,0,0,,79.2,0,0,0,0,0,0,0,0,3,3
Allen Lazard,48135,2024,0,NYJ,1,,0,1,,5.3,0,0,0,0,0,2,0,,1,0,-0.83,0,22,77.9,62.7,60,,0,0,1,7,0,,39.6,0,0,0,0,1,0,0,0,0,0
Cedrick Wilson Jr.,48170,2024,0,NO,2,100,1,1,20,5.6,0,0,0,100,1,0,1,0,2,0,0.85,1,20,26.2,63.5,70.3,,0,0,2,1,50,100,158.3,50,1,0,0,0,1,0,0,21,21
Darnell Mooney,48236,2024,0,ATL,1,,0,1,,4.2,0,0,0,0,0,0,1,,1,0,-0.4,0,2,80.9,74,60,,0,0,1,2,0,0,39.6,0,0,0,0,1,0,0,0,0,0
DJ Moore,48267,2024,0,CHI,1,0,1,1,36,3.2,0,0,0,0,0,0,0,,1,0,-0.47,0,6,62,73.5,59.7,64.6,0,0,1,5,0,,39.6,0,0,0,0,0,0,0,0,0,0
Tress Way,8358,2024,0,WAS,1,100,1,1,16,2.3,0,0,0,100,1,0,0,0,1,0,5.22,1,32,60.4,73.1,68.8,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,23,23
AJ Cole,36038,2024,0,LV,1,100,1,1,4,2.2,0,0,0,100,1,0,0,0,1,0,5.15,1,23,60.4,70.3,66.9,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,34,34
Jack Fox,34735,2024,0,DET,1,100,1,1,15,2,0,0,0,100,1,0,0,0,1,0,5.1,1,11,60.4,72.6,68.8,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,17,17
Teddy Bridgewater,8667,2024,0,DET,1,100,1,1,3,2.5,0,0,0,100,1,0,0,0,1,0,-0.03,1,11,60.4,57.8,58,,0,0,1,0,0,,79.2,0,0,0,0,0,0,0,0,3,3
Stefon Diggs,9579,2024,0,HST,2,100,1,1,-4,4.15,0,0,0,100,1,0,0,0,2,0,2.08,2,13,79.7,79,60.4,64.9,0,0,2,2,100,,118.8,0,0,1,0,0,0,0,0,13,13
Justin Jefferson,61398,2024,0,MIN,2,100,1,1,-4,5.85,0,0,0,100,1,1,1,0,2,0,1.74,1,18,60.9,86.6,60.3,58.3,0,0,2,3,50,0,118.8,0,0,1,0,0,0,0,0,22,22
Kyle Allen,26152,2024,0,PIT,1,100,1,1,13,2.2,0,0,0,100,1,0,0,0,1,0,1.19,1,25,60.4,73.2,71.6,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,19,19
Tutu Atwell,77965,2024,0,LA,1,0,1,1,35,3.4,0,0,0,0,0,0,0,,1,0,-0.5,0,26,79.1,72.7,59.7,49.5,0,0,1,1,0,,39.6,0,0,0,0,0,0,0,0,0,0
Dyami Brown,77986,2024,0,WAS,1,100,1,1,39,3.7,0,0,0,0,0,0,0,100,1,1,-0.52,0,32,20.3,66.5,73.4,63.5,0,0,1,4,0,,39.6,0,0,0,0,0,0,0,0,0,0
Kendrick Bourne,12270,2024,0,NE,1,0,1,1,0,3.2,0,0,0,0,0,0,0,,1,0,-1.48,0,19,77.1,62.1,57.7,62,0,0,1,1,0,,39.6,0,0,0,0,0,0,0,0,0,0
Joe Mixon,11803,2024,0,HST,2,0,1,1,18,2.8,0,0,0,0,0,0,1,,1,0,-2.9,0,13,87.5,75.8,54.9,76.5,0,0,2,3,0,0,39.6,0,0,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,84470,2024,0,DET,1,100,1,1,5,3.9,0,0,0,100,1,1,0,0,1,0,2.36,1,11,64,89.3,60.5,58.8,0,0,1,3,100,,135.4,0,0,0,0,0,1,0,0,7,7
Ricky Pearsall,100660,2024,0,SF,1,,0,1,,5.75,0,0,0,0,0,0,2,,2,0,-0.22,0,28,79.2,63.9,60,57,0,0,2,2,50,0,39.6,0,0,1,0,1,0,0,0,0,0
Jameson Williams,101701,2024,0,DET,1,0,1,1,20,4.6,0,0,0,0,0,0,0,,1,0,-4.67,0,11,82.3,74.5,41.3,81.3,0,1,1,4,0,,0,0,0,0,0,0,0,1,100,0,0
Miles Killebrew,10745,2024,0,PIT,1,100,1,1,17,1.1,0,0,0,0,0,0,0,100,1,1,-1.37,0,25,60.4,73.1,68.8,,0,0,1,0,0,,39.6,0,0,0,0,0,0,0,0,0,0
Jaxon Smith-Njigba,129758,2024,0,SEA,1,100,1,1,33,3.8,0,0,0,100,1,1,1,0,1,0,2.36,1,29,60.2,81,59.7,50.6,0,0,1,3,100,0,118.8,0,0,0,0,0,0,0,0,35,35
Jalen Coker,143068,2024,0,CAR,1,100,1,1,15,3,0,0,0,100,1,0,0,0,1,0,0.68,1,5,77.1,72.8,68.8,,0,0,1,2,100,,118.8,0,0,0,0,0,0,0,0,19,19
Adonai Mitchell,146712,2024,0,IND,2,100,1,1,-6,1.75,0,0,0,100,1,0,0,0,2,0,-4.31,1,14,20.3,57.9,36.4,55.4,0,0,2,1,50,,118.8,0,0,0,0,0,0,0,0,24,24
