player,player_id,Included in rank?,Backfield,Backfield att,in-line,in-line att,slot,slot att,wide,wide att
Matthew Stafford,4924,1,70.9,78,88.6,139,92.5,179,92.2,311
Caleb Williams,144622,1,69.2,89,77.6,83,65.5,187,87.4,263
Bo Nix,97790,1,71.7,120,47.9,75,79.7,192,90.9,246
Drake Maye,143969,1,72.9,103,78.9,71,81.2,162,91.1,269
Dak Prescott,10769,1,58.3,78,72,63,88.6,172,90.4,297
Trevor Lawrence,77632,1,73.6,70,81.1,64,76.2,194,91,251
Jared Goff,10635,1,65.9,105,70.4,41,87.6,177,86.3,207
Sam Darnold,29048,1,76.5,76,58.8,93,88.1,123,91.9,251
Baker Mayfield,46518,1,73.1,85,50.2,28,71.5,175,77.1,264
Justin Herbert,28237,1,69.4,59,90.1,58,80.3,182,80.5,227
Cam Ward,133244,1,53.9,75,86.6,56,74.9,193,67.8,192
Josh Allen,46601,1,74.1,82,89.6,77,84.7,182,88.7,196
Aaron Rodgers,2241,1,74,86,77.8,78,77.8,166,73.4,186
Bryce Young,123943,1,69,86,75.5,51,74.4,143,78.1,206
Patrick Mahomes,11765,1,56.6,63,77.3,41,78.1,198,79.1,187
C.J. Stroud,129759,1,70,61,68.4,75,69.7,145,70.6,209
Jalen Hurts,40291,1,76.6,63,77.4,53,66.9,139,89.7,218
Jordan Love,40306,1,67.1,68,84.4,76,93.7,143,87.2,175
Jacoby Brissett,10725,1,51.3,79,71.3,63,82.1,136,81.9,189
Geno Smith,7820,1,54.9,68,85.1,67,67.1,130,65.6,174
Joe Flacco,4332,1,55.6,69,71.1,50,82.2,102,72.1,177
Daniel Jones,39395,1,68.4,55,67.2,58,70.8,113,79,161
Tua Tagovailoa,60326,1,67.3,70,65.1,47,64,121,81,148
Brock Purdy,77672,1,76.5,75,95.3,70,73.1,81,78.6,100
Jaxson Dart,146409,1,73,59,83.1,24,86.4,130,60.8,125
Tyler Shough,83537,1,70.2,43,62,28,81.9,112,78,137
Lamar Jackson,46416,1,56.6,45,61.7,23,75.4,105,91.9,124
Mac Jones,60323,1,65.8,60,78.5,38,71.9,93,86.4,88
Michael Penix Jr.,82134,1,46.8,26,87,26,64.4,90,62.7,121
Kirk Cousins,7102,1,66.4,46,74.4,36,82.9,76,77.5,100
Joe Burrow,28022,1,74,46,80.2,22,86.1,77,93.5,110
Spencer Rattler,97408,1,65.6,41,32.9,22,81.1,87,75.9,106
J.J. McCarthy,144918,1,51,36,66.9,26,76.9,66,67.7,108
Marcus Mariota,9435,1,31.4,25,90.5,29,73.7,77,85.4,95
Shedeur Sanders,131396,1,69.7,40,63.7,40,75.7,42,39.5,66
Justin Fields,82118,1,71.1,39,77.7,31,79.2,48,72.3,72
Jayden Daniels,97993,1,56.7,21,74,17,74.6,72,89.7,74
Dillon Gabriel,86272,1,65.4,31,72.5,29,65,60,40.9,62
Carson Wentz,10636,1,58.9,20,61,17,59.8,51,67.5,78
Kyler Murray,38334,1,59.7,33,59.6,20,79.2,52,78.6,54
Davis Mills,52269,1,51.2,16,74.9,27,70.9,49,71,63
Brady Cook,124199,1,57.5,16,51,17,49.9,47,47.2,66
Tyrod Taylor,6332,1,65.7,20,59.7,12,76.7,34,54.9,60
Jake Browning,46401,0,62.7,21,70,12,40.1,36,64.1,57
Russell Wilson,7077,0,70.1,26,71.9,7,79.8,35,65.7,41
Philip Rivers,1725,0,64.3,17,59.6,16,45.6,29,64.4,30
Quinn Ewers,127253,0,58.8,12,64.7,10,52.3,18,44.5,42
Max Brosmer,105568,0,68.1,19,20.8,10,28.6,14,58.3,27
Tyler Huntley,46448,0,67.2,9,59.1,6,84,29,72.9,23
Riley Leonard,143862,0,65.3,7,45.8,8,52.8,23,85.3,30
Jameis Winston,9434,0,68.2,12,60,5,64.9,18,70.6,30
Trey Lance,91399,0,58.4,6,34.8,3,61.9,17,33.7,24
Chris Oladokun,40364,0,68.3,13,71.7,5,28.2,8,74.7,25
Josh Johnson,4474,0,65.7,7,69.9,5,38.2,16,66.4,27
Mason Rudolph,46569,0,66.7,11,63,7,70.9,11,49,22
Cooper Rush,12324,0,37.5,9,72.8,2,61.6,20,75,20
Kenny Pickett,60515,0,62.1,10,32.8,5,52,9,61.3,19
Tanner McKee,131770,0,60.9,4,72.2,3,53.7,7,68.3,22
Andy Dalton,6187,0,#N/A,#N/A,68.4,5,78.4,14,67.9,16
Malik Willis,60341,0,60.1,1,66.7,7,90.8,10,90.3,16
Mitch Trubisky,11757,0,78.4,6,82.2,7,84.3,8,55.3,15
Jarrett Stidham,13725,0,75.8,8,60.4,1,58.5,8,59.5,10
Brandon Allen,10835,0,64.6,6,66.3,4,46.8,7,32,12
Joe Milton III,82151,0,63.3,3,27.3,3,45.6,5,72.8,13
Aidan O'Connell,60516,0,62.2,2,60.4,1,70.9,5,66.5,11
Teddy Bridgewater,8667,0,61.4,2,#N/A,#N/A,54.7,7,57.2,5
Clayton Tune,77652,0,55.5,3,29.2,4,62,2,51.3,5
Shane Buechele,12659,0,60.1,1,60.8,3,81.2,5,60.3,2
Gardner Minshew,41401,0,62.1,2,59.8,1,33.3,5,53.2,2
Zach Wilson,82096,0,#N/A,#N/A,#N/A,#N/A,53.4,7,55.4,1
Joshua Dobbs,11890,0,60.4,1,62.1,2,73,2,58.9,6
Taysom Hill,12112,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tyson Bagent,169628,0,#N/A,#N/A,49.2,1,71.9,1,60.4,1
Nick Mullens,12282,0,60.4,1,#N/A,#N/A,#N/A,#N/A,71.2,2
Drew Lock,39517,0,62,2,#N/A,#N/A,#N/A,#N/A,43.2,1
Anthony Richardson,124393,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,51.7,1
Kedon Slovis,100580,0,60.4,1,#N/A,#N/A,#N/A,#N/A,58,1
David Montgomery,45719,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kyle Allen,26152,0,#N/A,#N/A,60.1,1,#N/A,#N/A,71.9,1
Gunner Olszewski,95015,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cooper Kupp,11824,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Christian McCaffrey,11763,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Isaiah Williams,97156,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tyler Warren,129798,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cole Kmet,60995,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Derrick Henry,10679,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Efton Chism III,141521,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Corey Bojorquez,27626,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cam Akers,57206,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DJ Moore,48267,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jauan Jennings,48027,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jaylen Waddle,84088,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rigoberto Sanchez,12130,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Breece Hall,97636,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Matt Haack,12212,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austin McNamara,99363,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
RJ Harvey,99622,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chris Olave,84355,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A